:START_ID,:END_ID,relation,:TYPE
201266,300005,概念属于,概念属于
202003,300005,概念属于,概念属于
203310,300005,概念属于,概念属于
203286,300005,概念属于,概念属于
203262,300005,概念属于,概念属于
202938,300005,概念属于,概念属于
202032,300005,概念属于,概念属于
203339,300005,概念属于,概念属于
203369,300005,概念属于,概念属于
201839,300005,概念属于,概念属于
201244,300005,概念属于,概念属于
200045,300005,概念属于,概念属于
203018,300005,概念属于,概念属于
200005,300005,概念属于,概念属于
202320,300005,概念属于,概念属于
201234,300005,概念属于,概念属于
203098,300005,概念属于,概念属于
201229,300005,概念属于,概念属于
203063,300005,概念属于,概念属于
200300,300005,概念属于,概念属于
202966,300005,概念属于,概念属于
200165,300005,概念属于,概念属于
203391,300005,概念属于,概念属于
203203,300005,概念属于,概念属于
201646,300005,概念属于,概念属于
200171,300005,概念属于,概念属于
202829,300005,概念属于,概念属于
202763,300005,概念属于,概念属于
200068,300005,概念属于,概念属于
203512,300005,概念属于,概念属于
202196,300005,概念属于,概念属于
201933,300005,概念属于,概念属于
200508,300005,概念属于,概念属于
201620,300005,概念属于,概念属于
201534,300005,概念属于,概念属于
202645,300005,概念属于,概念属于
201178,300006,概念属于,概念属于
200995,300006,概念属于,概念属于
203029,300006,概念属于,概念属于
201141,300006,概念属于,概念属于
202295,300006,概念属于,概念属于
202613,300006,概念属于,概念属于
203121,300006,概念属于,概念属于
202409,300006,概念属于,概念属于
203275,300006,概念属于,概念属于
201580,300006,概念属于,概念属于
202941,300006,概念属于,概念属于
202040,300006,概念属于,概念属于
202758,300006,概念属于,概念属于
201295,300006,概念属于,概念属于
201706,300006,概念属于,概念属于
202835,300006,概念属于,概念属于
203039,300006,概念属于,概念属于
202488,300006,概念属于,概念属于
202583,300006,概念属于,概念属于
200232,300006,概念属于,概念属于
201219,300006,概念属于,概念属于
202716,300006,概念属于,概念属于
202721,300006,概念属于,概念属于
202827,300006,概念属于,概念属于
201588,300007,概念属于,概念属于
202245,300007,概念属于,概念属于
201418,300007,概念属于,概念属于
202109,300007,概念属于,概念属于
203012,300007,概念属于,概念属于
200050,300007,概念属于,概念属于
201817,300007,概念属于,概念属于
202390,300007,概念属于,概念属于
201041,300007,概念属于,概念属于
201472,300007,概念属于,概念属于
201655,300007,概念属于,概念属于
202063,300007,概念属于,概念属于
202759,300007,概念属于,概念属于
202095,300007,概念属于,概念属于
201004,300007,概念属于,概念属于
200988,300007,概念属于,概念属于
200904,300007,概念属于,概念属于
201602,300007,概念属于,概念属于
202980,300007,概念属于,概念属于
201356,300007,概念属于,概念属于
200276,300007,概念属于,概念属于
201592,300007,概念属于,概念属于
202954,300007,概念属于,概念属于
201353,300007,概念属于,概念属于
202911,300007,概念属于,概念属于
203019,300007,概念属于,概念属于
201940,300007,概念属于,概念属于
201696,300007,概念属于,概念属于
202533,300007,概念属于,概念属于
201623,300007,概念属于,概念属于
202966,300007,概念属于,概念属于
201889,300008,概念属于,概念属于
201178,300008,概念属于,概念属于
200051,300008,概念属于,概念属于
