:START_ID,:END_ID,relation,:TYPE
200699,400004,行业属于,行业属于
200432,400004,行业属于,行业属于
201815,400004,行业属于,行业属于
200538,400004,行业属于,行业属于
200788,400004,行业属于,行业属于
202296,400004,行业属于,行业属于
201670,400004,行业属于,行业属于
201881,400004,行业属于,行业属于
202462,400004,行业属于,行业属于
200507,400004,行业属于,行业属于
200056,400004,行业属于,行业属于
200949,400004,行业属于,行业属于
202646,400004,行业属于,行业属于
200035,400004,行业属于,行业属于
201243,400004,行业属于,行业属于
203517,400004,行业属于,行业属于
202112,400004,行业属于,行业属于
203189,400004,行业属于,行业属于
202034,400004,行业属于,行业属于
201716,400004,行业属于,行业属于
203524,400004,行业属于,行业属于
200822,400004,行业属于,行业属于
203412,400004,行业属于,行业属于
202964,400004,行业属于,行业属于
203407,400004,行业属于,行业属于
202013,400004,行业属于,行业属于
200514,400004,行业属于,行业属于
200431,400004,行业属于,行业属于
202590,400004,行业属于,行业属于
200300,400004,行业属于,行业属于
200044,400004,行业属于,行业属于
203450,400004,行业属于,行业属于
201868,400004,行业属于,行业属于
202571,400004,行业属于,行业属于
202463,400004,行业属于,行业属于
202644,400004,行业属于,行业属于
200171,400004,行业属于,行业属于
202591,400004,行业属于,行业属于
200333,400004,行业属于,行业属于
200365,400004,行业属于,行业属于
200049,400004,行业属于,行业属于
200058,400004,行业属于,行业属于
202415,400004,行业属于,行业属于
203417,400004,行业属于,行业属于
201210,400004,行业属于,行业属于
201777,400004,行业属于,行业属于
200972,400004,行业属于,行业属于
201206,400004,行业属于,行业属于
201557,400004,行业属于,行业属于
201205,400004,行业属于,行业属于
201637,400004,行业属于,行业属于
203357,400004,行业属于,行业属于
202722,400004,行业属于,行业属于
200286,400004,行业属于,行业属于
202304,400004,行业属于,行业属于
202457,400004,行业属于,行业属于
200714,400004,行业属于,行业属于
203252,400004,行业属于,行业属于
202205,400004,行业属于,行业属于
201408,400004,行业属于,行业属于
202470,400004,行业属于,行业属于
202447,400004,行业属于,行业属于
202103,400004,行业属于,行业属于
203190,400004,行业属于,行业属于
200558,400004,行业属于,行业属于
203140,400004,行业属于,行业属于
200696,400004,行业属于,行业属于
201695,400004,行业属于,行业属于
201201,400004,行业属于,行业属于
202496,400004,行业属于,行业属于
200771,400004,行业属于,行业属于
201035,400004,行业属于,行业属于
202473,400004,行业属于,行业属于
202494,400004,行业属于,行业属于
202638,400004,行业属于,行业属于
203359,400004,行业属于,行业属于
202564,400004,行业属于,行业属于
200053,400004,行业属于,行业属于
201011,400004,行业属于,行业属于
200197,400004,行业属于,行业属于
201757,400004,行业属于,行业属于
203161,400004,行业属于,行业属于
201563,400004,行业属于,行业属于
201606,400004,行业属于,行业属于
202416,400004,行业属于,行业属于
200176,400004,行业属于,行业属于
201365,400005,行业属于,行业属于
201945,400005,行业属于,行业属于
200397,400005,行业属于,行业属于
201064,400005,行业属于,行业属于
203010,400005,行业属于,行业属于
200865,400005,行业属于,行业属于
200609,400005,行业属于,行业属于
201663,400005,行业属于,行业属于
202717,400005,行业属于,行业属于
200761,400005,行业属于,行业属于
200760,400005,行业属于,行业属于
200662,400005,行业属于,行业属于
202207,400005,行业属于,行业属于
201737,400005,行业属于,行业属于
